id,context,question,answer,answer_start,difficulty
1772,"The global health conference took place in Mumbai on August 17, 2020, drawing an audience of about 22000 people from around the Czech Republic.",Where did the global health conference take place?,Mumbai,43,Intermediate
1773,The Grand Observatory was completed in 2015 and is located in Austin. It attracts roughly 500000 visitors every year.,Where is the Grand Observatory located?,Austin,62,Beginner
1774,"The annual jazz festival took place in Kuala Lumpur on March 13, 2024, drawing an audience of about 500000 people from around Ireland.",When did the annual jazz festival take place?,"March 13, 2024",55,Beginner
1775,Grace Garcia joined Quantum Innovations as a research scientist in 2002 and later moved to the Wellington office in 2005.,What role did Grace Garcia join Quantum Innovations as?,research scientist,45,Advanced
1776,"The robotics championship took place in Cape Town on June 1, 2020, drawing an audience of about 3400 people from around South Africa.",Where did the robotics championship take place?,Cape Town,40,Advanced
1777,The Riverside Museum was completed in 1997 and is located in Melbourne. It attracts roughly 96000 visitors every year.,Where is the Riverside Museum located?,Melbourne,61,Intermediate
1778,Zainab Müller published a research paper on machine translation in 1995 while working at Brightline Technologies in Buenos Aires.,What topic did Zainab Müller research?,machine translation,44,Advanced
1779,James Taylor joined Global Trade Partners as a senior analyst in 2011 and later moved to the Prague office in 2015.,What role did James Taylor join Global Trade Partners as?,senior analyst,47,Beginner
1780,Oakwood Publishing House was founded in Edinburgh in 1992 by Zainab Brown. The company now employs more than 500000 people across Thailand.,Who founded Oakwood Publishing House?,Zainab Brown,61,Advanced
1781,Kevin Kim published a research paper on deep-sea biology in 2013 while working at Brightline Technologies in Cape Town.,In what year did Kevin Kim publish the paper?,2013,60,Intermediate
1782,Silverline Motors was founded in Prague in 1991 by Maria Novak. The company now employs more than 15000 people across Japan.,In what year was Silverline Motors founded?,1991,43,Beginner
1783,Wei Wilson joined Silverline Motors as a project manager in 1992 and later moved to the Seoul office in 1994.,Which office did Wei Wilson later move to?,Seoul,88,Advanced
1784,Felix Fernandez joined Maple Street School District as a lead engineer in 2000 and later moved to the Manila office in 2004.,What role did Felix Fernandez join Maple Street School District as?,lead engineer,57,Intermediate
1785,"The global health conference took place in Kuala Lumpur on May 8, 2022, drawing an audience of about 250000 people from around the Netherlands.",Where did the global health conference take place?,Kuala Lumpur,43,Intermediate
1786,Vertex Analytics was founded in Melbourne in 2008 by Kevin King. The company now employs more than 45000 people across New Zealand.,Who founded Vertex Analytics?,Kevin King,53,Beginner
1787,Harborview College was founded in Toronto in 1995 by Hana Moore. The company now employs more than 3400 people across the United States.,Who founded Harborview College?,Hana Moore,53,Advanced
1788,Adaeze Haddad published a research paper on machine translation in 2005 while working at BrightFuture Foundation in Melbourne.,What topic did Adaeze Haddad research?,machine translation,44,Advanced
1789,Amara Patel published a research paper on urban air quality in 2004 while working at BrightFuture Foundation in Melbourne.,In what year did Amara Patel publish the paper?,2004,63,Beginner
1790,"The annual jazz festival took place in Stockholm on November 20, 2024, drawing an audience of about 1200 people from around Poland.",Where did the annual jazz festival take place?,Stockholm,39,Intermediate
1791,The Old Town Hall was completed in 2006 and is located in Berlin. It attracts roughly 500000 visitors every year.,Where is the Old Town Hall located?,Berlin,58,Intermediate
1792,Elena Patel joined Evergreen Energy Co. as a marketing director in 1992 and later moved to the Cape Town office in 1997.,Which office did Elena Patel later move to?,Cape Town,95,Beginner
1793,Falcon Logistics was founded in Zurich in 1998 by George Dubois. The company now employs more than 22000 people across Poland.,In which city was Falcon Logistics founded?,Zurich,32,Beginner
1794,Chloe Wilson published a research paper on deep-sea biology in 2007 while working at Union Manufacturing Corp. in Nairobi.,In what year did Chloe Wilson publish the paper?,2007,63,Intermediate
1795,"The technology summit took place in Bangkok on June 26, 2023, drawing an audience of about 1200 people from around South Korea.",When did the technology summit take place?,"June 26, 2023",47,Beginner
1796,Zainab Anderson published a research paper on renewable energy storage in 2021 while working at Riverside Bank in Kuala Lumpur.,In what year did Zainab Anderson publish the paper?,2021,74,Beginner
1797,Emma Okafor published a research paper on urban air quality in 2003 while working at Falcon Logistics in Amsterdam.,What topic did Emma Okafor research?,urban air quality,42,Intermediate
1798,Zainab Smith published a research paper on urban air quality in 2005 while working at Quantum Innovations in Kuala Lumpur.,What topic did Zainab Smith research?,urban air quality,43,Beginner
1799,Meridian Financial Group was founded in Toronto in 1998 by Jack Khan. The company now employs more than 15000 people across Thailand.,Who founded Meridian Financial Group?,Jack Khan,59,Intermediate
1800,Kevin Osei joined Meridian Financial Group as a project manager in 1990 and later moved to the Marrakesh office in 1995.,Which office did Kevin Osei later move to?,Marrakesh,95,Beginner
1801,The Harborview Bridge was completed in 2018 and is located in Copenhagen. It attracts roughly 22000 visitors every year.,Where is the Harborview Bridge located?,Copenhagen,62,Advanced
1802,Skyline Real Estate was founded in Cairo in 2015 by Anna Walker. The company now employs more than 96000 people across Poland.,In which city was Skyline Real Estate founded?,Cairo,35,Advanced
1803,The Central Library was completed in 1994 and is located in Edinburgh. It attracts roughly 1200 visitors every year.,When was the Central Library completed?,1994,37,Beginner
1804,Zainab Young published a research paper on machine translation in 2000 while working at Coastal Insurance Co. in Jakarta.,In what year did Zainab Young publish the paper?,2000,66,Advanced
1805,"The technology summit took place in Cape Town on July 3, 2023, drawing an audience of about 22000 people from around Sweden.",Where did the technology summit take place?,Cape Town,36,Advanced
1806,"The science and innovation fair took place in Dublin on January 26, 2015, drawing an audience of about 22000 people from around Denmark.",When did the science and innovation fair take place?,"January 26, 2015",56,Beginner
1807,The National Science Center was completed in 2020 and is located in Kuala Lumpur. It attracts roughly 96000 visitors every year.,Where is the National Science Center located?,Kuala Lumpur,68,Intermediate
1808,Maria Chen joined Union Manufacturing Corp. as a lead engineer in 2015 and later moved to the Helsinki office in 2017.,What role did Maria Chen join Union Manufacturing Corp. as?,lead engineer,49,Advanced
1809,Global Trade Partners was founded in Denver in 2009 by Ravi Khan. The company now employs more than 45000 people across India.,In what year was Global Trade Partners founded?,2009,47,Advanced
1810,The Central Library was completed in 2010 and is located in Jakarta. It attracts roughly 22000 visitors every year.,When was the Central Library completed?,2010,37,Beginner
1811,The National Science Center was completed in 2010 and is located in Lisbon. It attracts roughly 22000 visitors every year.,Where is the National Science Center located?,Lisbon,68,Intermediate
1812,Charlotte Costa joined Falcon Logistics as a project manager in 2021 and later moved to the Cape Town office in 2022.,In what year did Charlotte Costa join Falcon Logistics?,2021,64,Beginner
1813,Vertex Analytics was founded in Austin in 2012 by Sofia Smith. The company now employs more than 8700 people across Indonesia.,In what year was Vertex Analytics founded?,2012,42,Intermediate
1814,Chloe Clark published a research paper on genetic markers in 1990 while working at Pioneer Research Institute in Toronto.,In what year did Chloe Clark publish the paper?,1990,61,Intermediate
1815,Evergreen Energy Co. was founded in Bangkok in 2001 by Charlotte Smith. The company now employs more than 96000 people across Malaysia.,Who founded Evergreen Energy Co.?,Charlotte Smith,55,Advanced
1816,Hassan Okafor joined Falcon Logistics as a senior analyst in 2019 and later moved to the Buenos Aires office in 2024.,What role did Hassan Okafor join Falcon Logistics as?,senior analyst,43,Intermediate
1817,Coastal Insurance Co. was founded in Denver in 1992 by Charlotte Dubois. The company now employs more than 22000 people across Japan.,Who founded Coastal Insurance Co.?,Charlotte Dubois,55,Advanced
1818,Aisha Anderson joined NextGen Software Labs as a lead engineer in 2015 and later moved to the Lisbon office in 2018.,In what year did Aisha Anderson join NextGen Software Labs?,2015,66,Intermediate
1819,"The science and innovation fair took place in Bangkok on May 9, 2015, drawing an audience of about 96000 people from around Indonesia.",Where did the science and innovation fair take place?,Bangkok,46,Intermediate
1820,Redstone Consulting was founded in Prague in 2019 by Wei Scott. The company now employs more than 8700 people across Kenya.,In what year was Redstone Consulting founded?,2019,45,Beginner
1821,Pioneer Research Institute was founded in Prague in 2004 by Peter Haddad. The company now employs more than 250000 people across Argentina.,In which city was Pioneer Research Institute founded?,Prague,42,Intermediate
1822,George Taylor published a research paper on urban air quality in 2020 while working at Meridian Financial Group in Marrakesh.,In what year did George Taylor publish the paper?,2020,65,Advanced
1823,Hassan Novak published a research paper on urban air quality in 2016 while working at Delta Cloud Services in Amsterdam.,Where was Hassan Novak working when the paper was published?,Delta Cloud Services,86,Intermediate
1824,Leila Nguyen published a research paper on quantum materials in 2010 while working at Northfield University in Dublin.,In what year did Leila Nguyen publish the paper?,2010,64,Beginner
1825,The Grand Observatory was completed in 1997 and is located in Berlin. It attracts roughly 22000 visitors every year.,Where is the Grand Observatory located?,Berlin,62,Intermediate
1826,"The global health conference took place in Nairobi on June 11, 2023, drawing an audience of about 96000 people from around Australia.",Where did the global health conference take place?,Nairobi,43,Beginner
1827,"The science and innovation fair took place in Dublin on May 19, 2020, drawing an audience of about 96000 people from around the Philippines.",When did the science and innovation fair take place?,"May 19, 2020",56,Beginner
1828,Evergreen Energy Co. was founded in Warsaw in 1992 by Chloe Anderson. The company now employs more than 3400 people across Chile.,In what year was Evergreen Energy Co. founded?,1992,46,Beginner
1829,The Harborview Bridge was completed in 2004 and is located in Berlin. It attracts roughly 250000 visitors every year.,Where is the Harborview Bridge located?,Berlin,62,Beginner
1830,Victor Yamamoto joined Global Trade Partners as a marketing director in 2022 and later moved to the Buenos Aires office in 2027.,In what year did Victor Yamamoto join Global Trade Partners?,2022,72,Beginner
1831,Nina Okafor joined BrightFuture Foundation as a lead engineer in 2011 and later moved to the Toronto office in 2015.,Which office did Nina Okafor later move to?,Toronto,93,Advanced
1832,Maple Street School District was founded in Bangkok in 2017 by Sara Osei. The company now employs more than 1200 people across the United States.,In which city was Maple Street School District founded?,Bangkok,44,Beginner
1833,The Central Library was completed in 2014 and is located in Marrakesh. It attracts roughly 250000 visitors every year.,When was the Central Library completed?,2014,37,Beginner
1834,Riverside Bank was founded in Dublin in 2014 by Julia Wright. The company now employs more than 3400 people across Japan.,In what year was Riverside Bank founded?,2014,40,Advanced
1835,Priya Brown published a research paper on urban air quality in 2021 while working at Crescent Media Group in Osaka.,What topic did Priya Brown research?,urban air quality,42,Intermediate
1836,Priya Ivanov published a research paper on machine translation in 1995 while working at Silverline Motors in Warsaw.,Where was Priya Ivanov working when the paper was published?,Silverline Motors,88,Intermediate
1837,Elena Khan published a research paper on genetic markers in 2018 while working at Global Trade Partners in Vancouver.,Where was Elena Khan working when the paper was published?,Global Trade Partners,82,Intermediate
1838,Wei Wilson joined BrightFuture Foundation as a operations coordinator in 1993 and later moved to the Cape Town office in 1998.,Which office did Wei Wilson later move to?,Cape Town,101,Beginner
1839,"The global health conference took place in Nairobi on February 26, 2016, drawing an audience of about 45000 people from around Poland.",When did the global health conference take place?,"February 26, 2016",54,Advanced
1840,George Brown joined Brightline Technologies as a marketing director in 2009 and later moved to the Marrakesh office in 2012.,In what year did George Brown join Brightline Technologies?,2009,71,Beginner
1841,Charlotte Fernandez published a research paper on quantum materials in 2000 while working at Meridian Financial Group in Kuala Lumpur.,What topic did Charlotte Fernandez research?,quantum materials,50,Beginner
1842,Ethan Okafor joined Quantum Innovations as a lead engineer in 2011 and later moved to the Amsterdam office in 2014.,Which office did Ethan Okafor later move to?,Amsterdam,90,Beginner
1843,Wei Fernandez joined Quantum Innovations as a operations coordinator in 2011 and later moved to the Santiago office in 2012.,Which office did Wei Fernandez later move to?,Santiago,100,Advanced
1844,Lakeside Medical Center was founded in Cape Town in 2011 by David Wright. The company now employs more than 250000 people across Denmark.,In what year was Lakeside Medical Center founded?,2011,52,Advanced
1845,"The technology summit took place in Austin on June 1, 2024, drawing an audience of about 250000 people from around the Netherlands.",When did the technology summit take place?,"June 1, 2024",46,Intermediate
1846,The National Science Center was completed in 1993 and is located in Marrakesh. It attracts roughly 3400 visitors every year.,Where is the National Science Center located?,Marrakesh,68,Beginner
1847,Amara Ivanov joined Crescent Media Group as a operations coordinator in 2004 and later moved to the Mumbai office in 2005.,Which office did Amara Ivanov later move to?,Mumbai,100,Beginner
1848,Falcon Logistics was founded in Helsinki in 2002 by Fatima King. The company now employs more than 3400 people across Chile.,In what year was Falcon Logistics founded?,2002,44,Intermediate
1849,"The science and innovation fair took place in Amsterdam on August 23, 2020, drawing an audience of about 250000 people from around India.",When did the science and innovation fair take place?,"August 23, 2020",59,Intermediate
1850,The Central Library was completed in 2013 and is located in Edinburgh. It attracts roughly 15000 visitors every year.,When was the Central Library completed?,2013,37,Intermediate
1851,The Old Town Hall was completed in 1995 and is located in Bangkok. It attracts roughly 3400 visitors every year.,Where is the Old Town Hall located?,Bangkok,58,Intermediate
1852,The Grand Observatory was completed in 2013 and is located in Cape Town. It attracts roughly 500000 visitors every year.,Where is the Grand Observatory located?,Cape Town,62,Intermediate
1853,The Central Library was completed in 2014 and is located in Vancouver. It attracts roughly 8700 visitors every year.,When was the Central Library completed?,2014,37,Intermediate
1854,Ibrahim Okafor published a research paper on genetic markers in 2017 while working at Skyline Real Estate in Vancouver.,In what year did Ibrahim Okafor publish the paper?,2017,64,Advanced
1855,The Old Town Hall was completed in 2005 and is located in Osaka. It attracts roughly 8700 visitors every year.,Where is the Old Town Hall located?,Osaka,58,Intermediate
1856,Zenith Pharmaceuticals was founded in Seoul in 1998 by Lucas Müller. The company now employs more than 15000 people across Denmark.,In what year was Zenith Pharmaceuticals founded?,1998,47,Beginner
1857,The Central Library was completed in 2009 and is located in Bangkok. It attracts roughly 3400 visitors every year.,Where is the Central Library located?,Bangkok,60,Beginner
1858,"The science and innovation fair took place in Zurich on March 11, 2022, drawing an audience of about 15000 people from around Japan.",When did the science and innovation fair take place?,"March 11, 2022",56,Advanced
1859,Hassan Young published a research paper on genetic markers in 2020 while working at Skyline Real Estate in Toronto.,Where was Hassan Young working when the paper was published?,Skyline Real Estate,84,Intermediate
1860,"The science and innovation fair took place in Santiago on July 16, 2025, drawing an audience of about 96000 people from around Poland.",When did the science and innovation fair take place?,"July 16, 2025",58,Beginner
1861,Felix Hall published a research paper on genetic markers in 2023 while working at Riverside Bank in Berlin.,What topic did Felix Hall research?,genetic markers,41,Beginner
1862,The Grand Observatory was completed in 2002 and is located in Warsaw. It attracts roughly 45000 visitors every year.,Where is the Grand Observatory located?,Warsaw,62,Advanced
1863,Lakeside Medical Center was founded in Berlin in 2013 by Noah Wilson. The company now employs more than 500000 people across Australia.,In what year was Lakeside Medical Center founded?,2013,49,Intermediate
1864,Adaeze Costa published a research paper on genetic markers in 2012 while working at Harborview College in Dublin.,In what year did Adaeze Costa publish the paper?,2012,62,Advanced
1865,Adaeze Walker joined Coastal Insurance Co. as a lead engineer in 1990 and later moved to the Copenhagen office in 1994.,What role did Adaeze Walker join Coastal Insurance Co. as?,lead engineer,48,Intermediate
1866,Hana Scott published a research paper on renewable energy storage in 1990 while working at Oakwood Publishing House in Mumbai.,In what year did Hana Scott publish the paper?,1990,69,Intermediate
1867,The Harborview Bridge was completed in 2016 and is located in Osaka. It attracts roughly 45000 visitors every year.,When was the Harborview Bridge completed?,2016,39,Advanced
1868,Omar King published a research paper on deep-sea biology in 2012 while working at Delta Cloud Services in Warsaw.,In what year did Omar King publish the paper?,2012,60,Intermediate
1869,"The robotics championship took place in Wellington on December 2, 2018, drawing an audience of about 1200 people from around Denmark.",Where did the robotics championship take place?,Wellington,40,Advanced
1870,The Central Library was completed in 1996 and is located in Marrakesh. It attracts roughly 250000 visitors every year.,When was the Central Library completed?,1996,37,Intermediate
1871,"The global health conference took place in Buenos Aires on September 2, 2017, drawing an audience of about 500000 people from around the United States.",Where did the global health conference take place?,Buenos Aires,43,Advanced
1872,Ravi Fernandez published a research paper on urban air quality in 2000 while working at Evergreen Energy Co. in Marrakesh.,What topic did Ravi Fernandez research?,urban air quality,45,Advanced
1873,"The annual jazz festival took place in Cairo on February 6, 2020, drawing an audience of about 22000 people from around Kenya.",When did the annual jazz festival take place?,"February 6, 2020",48,Beginner
1874,Mark Osei published a research paper on machine translation in 1991 while working at Vertex Analytics in Cairo.,In what year did Mark Osei publish the paper?,1991,63,Intermediate
1875,The Harborview Bridge was completed in 2009 and is located in Seoul. It attracts roughly 22000 visitors every year.,Where is the Harborview Bridge located?,Seoul,62,Advanced
1876,Elena Patel published a research paper on quantum materials in 2020 while working at Ironwood Steel Works in Helsinki.,In what year did Elena Patel publish the paper?,2020,63,Beginner
1877,"The robotics championship took place in Marrakesh on August 10, 2025, drawing an audience of about 22000 people from around Australia.",When did the robotics championship take place?,"August 10, 2025",53,Intermediate
1878,The National Science Center was completed in 2023 and is located in Warsaw. It attracts roughly 250000 visitors every year.,When was the National Science Center completed?,2023,45,Intermediate
1879,Liam Patel published a research paper on genetic markers in 2012 while working at BrightFuture Foundation in Mumbai.,Where was Liam Patel working when the paper was published?,BrightFuture Foundation,82,Intermediate
1880,"The global health conference took place in Kuala Lumpur on July 22, 2016, drawing an audience of about 8700 people from around Finland.",When did the global health conference take place?,"July 22, 2016",59,Advanced
1881,The Harborview Bridge was completed in 2010 and is located in Jakarta. It attracts roughly 3400 visitors every year.,When was the Harborview Bridge completed?,2010,39,Intermediate
1882,"The robotics championship took place in Nairobi on February 2, 2017, drawing an audience of about 8700 people from around India.",Where did the robotics championship take place?,Nairobi,40,Beginner
1883,The Riverside Museum was completed in 2013 and is located in Lisbon. It attracts roughly 3400 visitors every year.,When was the Riverside Museum completed?,2013,38,Advanced
1884,Anna Dubois published a research paper on genetic markers in 2021 while working at Redstone Consulting in Santiago.,What topic did Anna Dubois research?,genetic markers,42,Beginner
1885,Anna Haddad joined Falcon Logistics as a senior analyst in 2015 and later moved to the Vancouver office in 2017.,Which office did Anna Haddad later move to?,Vancouver,87,Intermediate
1886,"The international film festival took place in Jakarta on February 1, 2017, drawing an audience of about 250000 people from around the Czech Republic.",When did the international film festival take place?,"February 1, 2017",57,Beginner
1887,Anna Chen joined Evergreen Energy Co. as a project manager in 2014 and later moved to the Bangkok office in 2017.,In what year did Anna Chen join Evergreen Energy Co.?,2014,62,Advanced
1888,The Old Town Hall was completed in 1997 and is located in Vancouver. It attracts roughly 15000 visitors every year.,Where is the Old Town Hall located?,Vancouver,58,Beginner
1889,Mateus Smith joined Union Manufacturing Corp. as a project manager in 1991 and later moved to the Helsinki office in 1992.,What role did Mateus Smith join Union Manufacturing Corp. as?,project manager,51,Beginner
1890,The Riverside Museum was completed in 2021 and is located in Vancouver. It attracts roughly 96000 visitors every year.,When was the Riverside Museum completed?,2021,38,Beginner
1891,BrightFuture Foundation was founded in Zurich in 2006 by Olivia Osei. The company now employs more than 22000 people across Thailand.,Who founded BrightFuture Foundation?,Olivia Osei,57,Intermediate
1892,Ingrid Young published a research paper on machine translation in 2003 while working at Zenith Pharmaceuticals in Lisbon.,What topic did Ingrid Young research?,machine translation,43,Intermediate
1893,"The technology summit took place in Nairobi on June 12, 2019, drawing an audience of about 15000 people from around Kenya.",Where did the technology summit take place?,Nairobi,36,Beginner
1894,Summit Robotics Inc. was founded in Bangkok in 2000 by Ahmed Kowalski. The company now employs more than 3400 people across Denmark.,In what year was Summit Robotics Inc. founded?,2000,47,Beginner
1895,Sara Nguyen joined NextGen Software Labs as a project manager in 1993 and later moved to the Jakarta office in 1998.,Which office did Sara Nguyen later move to?,Jakarta,93,Beginner
1896,The Harborview Bridge was completed in 2022 and is located in Osaka. It attracts roughly 1200 visitors every year.,When was the Harborview Bridge completed?,2022,39,Intermediate
1897,Anna Anderson joined Pioneer Research Institute as a marketing director in 2007 and later moved to the Melbourne office in 2008.,What role did Anna Anderson join Pioneer Research Institute as?,marketing director,53,Advanced
1898,Mateus Okafor joined Aurora Data Systems as a lead engineer in 2004 and later moved to the Wellington office in 2008.,What role did Mateus Okafor join Aurora Data Systems as?,lead engineer,46,Beginner
1899,Hassan Green joined Union Manufacturing Corp. as a operations coordinator in 2022 and later moved to the Cairo office in 2023.,In what year did Hassan Green join Union Manufacturing Corp.?,2022,77,Beginner
1900,Harborview College was founded in Stockholm in 2014 by Ahmed Larsen. The company now employs more than 3400 people across the Czech Republic.,In which city was Harborview College founded?,Stockholm,34,Advanced
1901,The National Science Center was completed in 1993 and is located in Seoul. It attracts roughly 3400 visitors every year.,Where is the National Science Center located?,Seoul,68,Intermediate
1902,"The technology summit took place in Toronto on January 11, 2015, drawing an audience of about 8700 people from around Ireland.",When did the technology summit take place?,"January 11, 2015",47,Beginner
1903,Kevin Suzuki published a research paper on deep-sea biology in 1993 while working at Quantum Innovations in Prague.,Where was Kevin Suzuki working when the paper was published?,Quantum Innovations,85,Advanced
1904,Ironwood Steel Works was founded in Dublin in 1999 by Charlotte Anderson. The company now employs more than 45000 people across Denmark.,In which city was Ironwood Steel Works founded?,Dublin,36,Beginner
1905,"The international film festival took place in Prague on April 19, 2024, drawing an audience of about 250000 people from around Ireland.",Where did the international film festival take place?,Prague,46,Beginner
1906,"The technology summit took place in Amsterdam on November 4, 2021, drawing an audience of about 250000 people from around New Zealand.",When did the technology summit take place?,"November 4, 2021",49,Intermediate
1907,The Riverside Museum was completed in 2019 and is located in Copenhagen. It attracts roughly 96000 visitors every year.,Where is the Riverside Museum located?,Copenhagen,61,Advanced
1908,The Grand Observatory was completed in 1991 and is located in Zurich. It attracts roughly 96000 visitors every year.,Where is the Grand Observatory located?,Zurich,62,Intermediate
1909,The Harborview Bridge was completed in 1991 and is located in Wellington. It attracts roughly 1200 visitors every year.,When was the Harborview Bridge completed?,1991,39,Beginner
1910,Kevin Wilson joined Pioneer Research Institute as a operations coordinator in 2019 and later moved to the Amsterdam office in 2022.,Which office did Kevin Wilson later move to?,Amsterdam,106,Intermediate
1911,The Riverside Museum was completed in 2015 and is located in Amsterdam. It attracts roughly 8700 visitors every year.,When was the Riverside Museum completed?,2015,38,Beginner
1912,"The annual jazz festival took place in Buenos Aires on March 8, 2024, drawing an audience of about 22000 people from around Poland.",When did the annual jazz festival take place?,"March 8, 2024",55,Beginner
1913,Victor Baker joined Lakeside Medical Center as a lead engineer in 2011 and later moved to the Seoul office in 2012.,Which office did Victor Baker later move to?,Seoul,94,Intermediate
1914,The Central Library was completed in 2017 and is located in Cairo. It attracts roughly 22000 visitors every year.,Where is the Central Library located?,Cairo,60,Advanced
1915,Amara Rossi joined Skyline Real Estate as a project manager in 1999 and later moved to the Santiago office in 2002.,In what year did Amara Rossi join Skyline Real Estate?,1999,63,Beginner
1916,The Central Library was completed in 2009 and is located in Helsinki. It attracts roughly 45000 visitors every year.,Where is the Central Library located?,Helsinki,60,Intermediate
1917,"The science and innovation fair took place in Cape Town on July 7, 2024, drawing an audience of about 96000 people from around Malaysia.",Where did the science and innovation fair take place?,Cape Town,46,Intermediate
1918,The Old Town Hall was completed in 2017 and is located in Bangkok. It attracts roughly 1200 visitors every year.,When was the Old Town Hall completed?,2017,35,Advanced
1919,Wei Rossi published a research paper on machine translation in 2013 while working at Crescent Media Group in Mumbai.,Where was Wei Rossi working when the paper was published?,Crescent Media Group,85,Beginner
1920,The Old Town Hall was completed in 1991 and is located in Lisbon. It attracts roughly 96000 visitors every year.,Where is the Old Town Hall located?,Lisbon,58,Intermediate
1921,Lucas Patel published a research paper on urban air quality in 2009 while working at Cedar Grove Hospital in Kuala Lumpur.,Where was Lucas Patel working when the paper was published?,Cedar Grove Hospital,85,Intermediate
1922,Samuel Silva joined Northfield University as a research scientist in 2010 and later moved to the Osaka office in 2015.,In what year did Samuel Silva join Northfield University?,2010,69,Intermediate
1923,"The international film festival took place in Berlin on December 16, 2024, drawing an audience of about 250000 people from around Kenya.",When did the international film festival take place?,"December 16, 2024",56,Intermediate
1924,Carlos Dubois published a research paper on genetic markers in 1990 while working at Redstone Consulting in Nairobi.,Where was Carlos Dubois working when the paper was published?,Redstone Consulting,85,Intermediate
1925,Brightline Technologies was founded in Austin in 2018 by Ibrahim Haddad. The company now employs more than 96000 people across Thailand.,In which city was Brightline Technologies founded?,Austin,39,Intermediate
1926,Anna Lewis joined Delta Cloud Services as a marketing director in 2018 and later moved to the Mumbai office in 2022.,What role did Anna Lewis join Delta Cloud Services as?,marketing director,44,Intermediate
1927,"The science and innovation fair took place in Dublin on November 8, 2020, drawing an audience of about 500000 people from around Chile.",Where did the science and innovation fair take place?,Dublin,46,Beginner
1928,The Old Town Hall was completed in 2004 and is located in Kuala Lumpur. It attracts roughly 22000 visitors every year.,Where is the Old Town Hall located?,Kuala Lumpur,58,Advanced
1929,Julia Patel published a research paper on machine translation in 1993 while working at Summit Robotics Inc. in Buenos Aires.,In what year did Julia Patel publish the paper?,1993,65,Beginner
1930,George Okafor joined Maple Street School District as a senior analyst in 2007 and later moved to the Jakarta office in 2008.,What role did George Okafor join Maple Street School District as?,senior analyst,55,Advanced
1931,"The science and innovation fair took place in Prague on May 26, 2017, drawing an audience of about 45000 people from around Canada.",Where did the science and innovation fair take place?,Prague,46,Beginner
1932,"The global health conference took place in Marrakesh on April 17, 2022, drawing an audience of about 22000 people from around Germany.",When did the global health conference take place?,"April 17, 2022",56,Intermediate
1933,Falcon Logistics was founded in Manila in 2000 by Nadia Silva. The company now employs more than 500000 people across Sweden.,In what year was Falcon Logistics founded?,2000,42,Intermediate
1934,Noah Dubois published a research paper on quantum materials in 2005 while working at Blue Horizon Airlines in Stockholm.,In what year did Noah Dubois publish the paper?,2005,63,Advanced
1935,"The technology summit took place in Copenhagen on July 27, 2017, drawing an audience of about 500000 people from around New Zealand.",Where did the technology summit take place?,Copenhagen,36,Beginner
1936,James Khan joined Summit Robotics Inc. as a lead engineer in 1992 and later moved to the Osaka office in 1994.,Which office did James Khan later move to?,Osaka,89,Beginner
1937,Samuel Kim published a research paper on quantum materials in 1991 while working at Skyline Real Estate in Stockholm.,What topic did Samuel Kim research?,quantum materials,41,Advanced
1938,Harborview College was founded in Kuala Lumpur in 2000 by Maria Dubois. The company now employs more than 3400 people across Denmark.,In what year was Harborview College founded?,2000,50,Beginner
1939,Aisha Costa published a research paper on deep-sea biology in 2022 while working at Aurora Data Systems in Berlin.,What topic did Aisha Costa research?,deep-sea biology,42,Advanced
1940,"The science and innovation fair took place in Amsterdam on April 21, 2022, drawing an audience of about 15000 people from around Thailand.",Where did the science and innovation fair take place?,Amsterdam,46,Beginner
1941,The Central Library was completed in 1994 and is located in Austin. It attracts roughly 1200 visitors every year.,Where is the Central Library located?,Austin,60,Intermediate
1942,"The annual jazz festival took place in Denver on March 17, 2023, drawing an audience of about 8700 people from around Canada.",Where did the annual jazz festival take place?,Denver,39,Advanced
1943,The Grand Observatory was completed in 1995 and is located in Cairo. It attracts roughly 15000 visitors every year.,Where is the Grand Observatory located?,Cairo,62,Advanced
1944,Golden Gate Retailers was founded in Cape Town in 1990 by Chen Ivanov. The company now employs more than 96000 people across the United States.,Who founded Golden Gate Retailers?,Chen Ivanov,58,Intermediate
1945,The Riverside Museum was completed in 2015 and is located in Melbourne. It attracts roughly 22000 visitors every year.,Where is the Riverside Museum located?,Melbourne,61,Advanced
1946,Quantum Innovations was founded in Dublin in 2008 by Kevin Wilson. The company now employs more than 15000 people across Finland.,In what year was Quantum Innovations founded?,2008,45,Intermediate
1947,Skyline Real Estate was founded in Toronto in 2006 by Mateus Nguyen. The company now employs more than 96000 people across Argentina.,In what year was Skyline Real Estate founded?,2006,46,Advanced
1948,Nadia Dubois published a research paper on quantum materials in 1991 while working at Cedar Grove Hospital in Kuala Lumpur.,Where was Nadia Dubois working when the paper was published?,Cedar Grove Hospital,86,Beginner
1949,"The robotics championship took place in Vancouver on June 23, 2019, drawing an audience of about 15000 people from around the United States.",When did the robotics championship take place?,"June 23, 2019",53,Intermediate
1950,NextGen Software Labs was founded in Jakarta in 2010 by Chen King. The company now employs more than 45000 people across Kenya.,In which city was NextGen Software Labs founded?,Jakarta,37,Advanced
1951,Adaeze Müller joined Blue Horizon Airlines as a lead engineer in 1993 and later moved to the Jakarta office in 1997.,In what year did Adaeze Müller join Blue Horizon Airlines?,1993,65,Intermediate
