id,word,related_word,relationship,category,similarity_score
1964,astronomy,galaxy,Related Concept,Science,0.6
1965,debug,fix,Action,Technology,0.44
1966,astronomy,observatory,Location,Science,0.41
1967,bedroom,pillow,Object,Daily Life,0.51
1968,stable,unstable,Antonym,Science,0.11
1969,element,oxygen,Category Member,Science,0.6
1970,organic,synthetic,Antonym,Science,0.23
1971,swimming,pool,Related Concept,Sports,0.5
1972,online,offline,Antonym,Technology,0.19
1973,university,degree,Related Concept,Education,0.47
1974,employee,staff member,Profession,Business,0.54
1975,train,practice,Action,Sports,0.43
1976,modern,outdated,Antonym,Technology,0.12
1977,grade,score,Synonym,Education,0.94
1978,wild,tame,Antonym,Nature,0.13
1979,score,win,Action,Sports,0.53
1980,train,practice,Action,Sports,0.58
1981,wireless,wired,Antonym,Technology,0.14
1982,student,pupil,Synonym,Education,0.93
1983,browser,tab,Related Concept,Technology,0.48
1984,hot,cold,Antonym,Nature,0.28
1985,grade,evaluate,Action,Education,0.56
1986,device,tablet,Category Member,Technology,0.55
1987,tennis,racket,Related Concept,Sports,0.57
1988,element,hydrogen,Category Member,Science,0.5
1989,lab,beaker,Object,Science,0.54
1990,basketball,court,Related Concept,Sports,0.48
1991,data,information,Synonym,Science,0.84
1992,lab,microscope,Object,Science,0.54
1993,astronomer,telescope,Object,Science,0.53
1994,victory,win,Synonym,Sports,0.81
1995,cook,chef,Profession,Daily Life,0.49
1996,beginner,expert,Antonym,Education,0.14
1997,classroom,lecture,Related Concept,Education,0.5
1998,degree,master's,Category Member,Education,0.62
1999,invest,fund,Action,Business,0.58
2000,bear,den,Object,Nature,0.37
