id,sentence_1,sentence_2,similarity_score,similarity_label,relationship
1540,It was noted that the novelist released her long-awaited sequel this spring.,Fans welcomed the release of the novelist's sequel this spring.,0.79,High,Paraphrase
1541,"According to the report, an app for monitoring soil health was created by the startup for farmers.",Local residents have long requested more green spaces downtown.,0.09,Very Low,Unrelated
1542,"As widely reported, the soccer team won the championship after a dramatic final.",It was noted that thousands of fans celebrated in the streets after the victory.,0.55,Medium,Related
1543,"This quarter, the company reported record breaking profits.",Investors reacted positively to the company's latest earnings call.,0.56,Medium,Related
1544,"Notably, the guests were served a tasty meal that the chef had cooked.","As widely reported, passengers were offered vouchers for future travel after the disruption.",0.09,Very Low,Unrelated
1545,"Notably, a new pediatric care wing was opened at the hospital.","Notably, the hospital closed its pediatric care wing due to budget cuts.",0.18,Low,Contradiction
1546,"As widely reported, farmers can now use the startup's app to track soil health.","According to the report, investors reacted positively to the company's latest earnings call.",0.0,Very Low,Unrelated
1547,"Notably, this spring, the novelist's long-awaited sequel finally arrived.","Notably, the novelist released her long-awaited sequel this spring.",0.76,High,Paraphrase
1548,"As widely reported, the hikers reached the summit just before sunset.","Sources confirmed that just before sunset, the hikers arrived at the summit.",0.84,High,Paraphrase
1549,"As widely reported, a moving tribute to the late composer was performed by the orchestra.",It was noted that tickets for the tribute concert sold out within hours.,0.56,Medium,Related
1550,The bakery started offering gluten-free pastries as a new product line.,"Notably, the new smartphone features a significantly improved camera.",0.1,Very Low,Unrelated
1551,The smartphone's camera has been greatly improved in this new version.,"According to the report, the new smartphone features a significantly improved camera.",0.92,Very High,Same Meaning
1552,"As widely reported, last weekend, volunteers spent hours removing litter from the riverbank.",A new pediatric care wing was opened at the hospital.,0.03,Very Low,Unrelated
1553,"Sources confirmed that to cut down on traffic, the city introduced a bike-sharing program.","According to the report, the city shut down its bike-sharing program after low usage.",0.18,Low,Contradiction
1554,The factory's energy consumption dropped after an equipment upgrade.,"As widely reported, new equipment was installed at the factory to cut energy use.",0.91,Very High,Same Meaning
1555,Sources confirmed that the soccer team won the championship after a dramatic final.,"Notably, thousands of fans celebrated in the streets after the victory.",0.61,Medium,Related
1556,"As widely reported, after a dramatic final, the soccer team claimed the championship title.","Notably, the soccer team lost the championship in a disappointing final.",0.3,Low,Contradiction
1557,"As widely reported, the soccer team won the championship after a dramatic final.",It was noted that the soccer team lost the championship in a disappointing final.,0.22,Low,Contradiction
1558,"According to the report, the factory upgraded its equipment to reduce energy consumption.","According to the report, the factory's energy consumption dropped after an equipment upgrade.",0.86,High,Paraphrase
1559,"According to the report, a much better camera is one of the new smartphone's key features.","Notably, the new smartphone features a significantly improved camera.",0.88,High,Paraphrase
1560,The city council approved funding for a new public park.,It was noted that local residents have long requested more green spaces downtown.,0.6,Medium,Related
1561,Sources confirmed that funding for a new public park was approved by the city council.,Sources confirmed that the city council approved funding for a new public park.,0.93,Very High,Same Meaning
1562,A delicious meal was made by the chef for the guests.,It was noted that a delicious meal was made by the chef for the guests.,0.95,Very High,Same Meaning
1563,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.",It was noted that donors contributed generously to fund the hospital's expansion.,0.08,Very Low,Unrelated
1564,"As widely reported, critics gave the film glowing reviews when it came out.",Sources confirmed that reviewers praised the phone's battery life and sleek design.,0.03,Very Low,Unrelated
1565,"Notably, fans welcomed the release of the novelist's sequel this spring.",The novelist released her long-awaited sequel this spring.,0.91,Very High,Same Meaning
1566,The startup developed an app that helps farmers monitor soil health.,"Notably, an app for monitoring soil health was created by the startup for farmers.",0.86,High,Paraphrase
1567,It was noted that a new exhibit about ancient civilizations opened at the museum.,It was noted that the museum unveiled a new exhibit on ancient civilizations.,0.95,Very High,Same Meaning
1568,"According to the report, the factory upgraded its equipment to reduce energy consumption.","It was noted that this spring, the novelist's long-awaited sequel finally arrived.",0.02,Very Low,Unrelated
1569,"Notably, the startup developed an app that helps farmers monitor soil health.",Sources confirmed that an app for monitoring soil health was created by the startup for farmers.,0.92,Very High,Same Meaning
1570,The airline canceled several flights due to bad weather.,It was noted that the teacher offered extra review sessions before the exam period.,0.02,Very Low,Unrelated
1571,"As widely reported, upon its release, the film was widely praised by critics.","Upon its release, the film was widely praised by critics.",0.96,Very High,Same Meaning
1572,"Notably, the new smartphone features a significantly improved camera.","Notably, litter along the riverbank was cleared by volunteers last weekend.",0.07,Very Low,Unrelated
1573,"As widely reported, the startup developed an app that helps farmers monitor soil health.","Notably, the startup developed an app that helps farmers monitor soil health.",0.9,Very High,Same Meaning
1574,"As widely reported, the smartphone's camera has been greatly improved in this new version.","Notably, the smartphone's camera has been greatly improved in this new version.",0.84,High,Paraphrase
1575,"Notably, fans welcomed the release of the novelist's sequel this spring.","According to the report, the novelist released her long-awaited sequel this spring.",0.87,High,Paraphrase
1576,Sources confirmed that record profits were announced by the company for the current quarter.,It was noted that the company reported a significant loss this quarter.,0.33,Low,Contradiction
1577,"Notably, the research team released a major study about renewable energy.",Sources confirmed that groundbreaking research on renewable energy was published by the scientists.,0.83,High,Paraphrase
1578,"As widely reported, a new exhibit about ancient civilizations opened at the museum.","As widely reported, visitors can attend guided tours of the museum every weekend.",0.57,Medium,Related
1579,The novelist released her long-awaited sequel this spring.,"As widely reported, fans welcomed the release of the novelist's sequel this spring.",0.92,Very High,Same Meaning
1580,"As widely reported, the film received widespread critical acclaim upon release.","As widely reported, critics gave the film glowing reviews when it came out.",0.88,High,Paraphrase
1581,It was noted that the new smartphone features a significantly improved camera.,Reviewers praised the phone's battery life and sleek design.,0.59,Medium,Related
1582,Fans welcomed the release of the novelist's sequel this spring.,It was noted that fans welcomed the release of the novelist's sequel this spring.,0.86,High,Paraphrase
1583,"Notably, the factory upgraded its equipment to reduce energy consumption.","Notably, the factory's energy consumption rose after the equipment failed.",0.21,Low,Contradiction
1584,It was noted that several flights were canceled by the airline because of poor weather conditions.,"As widely reported, just before sunset, the hikers arrived at the summit.",0.11,Very Low,Unrelated
1585,Sources confirmed that the students studied hard for their final exams.,Sources confirmed that the students barely studied and skipped most of their classes.,0.29,Low,Contradiction
1586,"As widely reported, the museum unveiled a new exhibit on ancient civilizations.","According to the report, visitors can attend guided tours of the museum every weekend.",0.54,Medium,Related
1587,Several flights were canceled by the airline because of poor weather conditions.,Sources confirmed that the airline operated all its flights on schedule despite the storm.,0.18,Low,Contradiction
1588,The hospital opened a new wing dedicated to pediatric care.,"Notably, the hospital's new wing focuses on caring for young patients.",0.81,High,Paraphrase
1589,The guests were served a tasty meal that the chef had cooked.,"According to the report, the guests were served a tasty meal that the chef had cooked.",0.78,High,Paraphrase
1590,"Notably, farmers can now use the startup's app to track soil health.","As widely reported, agricultural experts praised the app's accuracy in the field.",0.51,Medium,Related
1591,"As widely reported, groundbreaking research on renewable energy was published by the scientists.",It was noted that the university received a large grant to fund further energy research.,0.51,Medium,Related
1592,"Notably, the council voted to fund the construction of a new public park.",The city council approved funding for a new public park.,0.98,Very High,Same Meaning
1593,"Notably, a new exhibit about ancient civilizations opened at the museum.",Sources confirmed that a new exhibit about ancient civilizations opened at the museum.,0.83,High,Paraphrase
1594,"To cut down on traffic, the city introduced a bike-sharing program.",A much better camera is one of the new smartphone's key features.,0.13,Very Low,Unrelated
1595,"It was noted that this quarter, the company reported record breaking profits.",It was noted that the company announced record profits this quarter.,0.87,High,Paraphrase
1596,"As widely reported, the orchestra honored the late composer with an emotional performance.","As widely reported, tickets for the tribute concert sold out within hours.",0.6,Medium,Related
1597,"Notably, just before sunset, the hikers arrived at the summit.","As widely reported, the trail offered stunning views of the surrounding valley.",0.46,Medium,Related
1598,It was noted that a moving tribute to the late composer was performed by the orchestra.,Tickets for the tribute concert sold out within hours.,0.65,Medium,Related
1599,"Notably, the soccer team won the championship after a dramatic final.",The soccer team won the championship after a dramatic final.,0.88,High,Paraphrase
1600,Sources confirmed that record profits were announced by the company for the current quarter.,Record profits were announced by the company for the current quarter.,0.91,Very High,Same Meaning
1601,"According to the report, the museum's latest exhibit focuses on ancient civilizations.","According to the report, the chef prepared a delicious meal for the guests.",0.02,Very Low,Unrelated
1602,"As widely reported, the scientists published groundbreaking research on renewable energy.","It was noted that this quarter, the company reported record breaking profits.",0.11,Very Low,Unrelated
1603,"According to the report, the city council approved funding for a new public park.",It was noted that funding for a new public park was approved by the city council.,0.97,Very High,Same Meaning
1604,"As widely reported, the smartphone's camera has been greatly improved in this new version.",Reviewers praised the phone's battery life and sleek design.,0.48,Medium,Related
1605,It was noted that a new exhibit about ancient civilizations opened at the museum.,"According to the report, the upgrade is expected to lower operating costs significantly.",0.0,Very Low,Unrelated
1606,"As widely reported, a new gluten-free pastry line was launched by the bakery.","According to the report, customers have praised the bakery's friendly staff and cozy atmosphere.",0.57,Medium,Related
1607,"As widely reported, the city council approved funding for a new public park.",The city council rejected the proposal for a new public park.,0.2,Low,Contradiction
1608,"Notably, due to bad weather, the airline had to cancel a number of flights.",It was noted that the trail offered stunning views of the surrounding valley.,0.04,Very Low,Unrelated
1609,The orchestra honored the late composer with an emotional performance.,"According to the report, tickets for the tribute concert sold out within hours.",0.65,Medium,Related
1610,"As widely reported, the chef prepared a delicious meal for the guests.",It was noted that the chef ruined the meal and the guests left disappointed.,0.3,Low,Contradiction
1611,Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,"As widely reported, the bakery introduced a new line of gluten-free pastries.",0.78,High,Paraphrase
1612,"It was noted that this quarter, the company reported record breaking profits.",Sources confirmed that record profits were announced by the company for the current quarter.,0.78,High,Paraphrase
1613,The research team released a major study about renewable energy.,The scientists' research on renewable energy was widely criticized as flawed.,0.21,Low,Contradiction
1614,"According to the report, the film received widespread critical acclaim upon release.","As widely reported, the airline canceled several flights due to bad weather.",0.03,Very Low,Unrelated
1615,Sources confirmed that farmers can now use the startup's app to track soil health.,The startup developed an app that helps farmers monitor soil health.,0.92,Very High,Same Meaning
1616,"According to the report, the startup developed an app that helps farmers monitor soil health.",Sources confirmed that fans welcomed the release of the novelist's sequel this spring.,0.14,Very Low,Unrelated
1617,"According to the report, a delicious meal was made by the chef for the guests.","According to the report, the restaurant received great reviews for its outstanding service.",0.53,Medium,Related
1618,"According to the report, last weekend, volunteers spent hours removing litter from the riverbank.",Sources confirmed that the hospital's new wing focuses on caring for young patients.,0.08,Very Low,Unrelated
1619,"It was noted that due to bad weather, the airline had to cancel a number of flights.",Sources confirmed that groundbreaking research on renewable energy was published by the scientists.,0.04,Very Low,Unrelated
1620,Sources confirmed that the museum unveiled a new exhibit on ancient civilizations.,A new exhibit about ancient civilizations opened at the museum.,0.86,High,Paraphrase
1621,"Notably, the hospital's new wing focuses on caring for young patients.",Sources confirmed that a new pediatric care wing was opened at the hospital.,0.97,Very High,Same Meaning
1622,"As widely reported, the museum's latest exhibit focuses on ancient civilizations.",It was noted that the museum closed its ancient civilizations exhibit permanently.,0.28,Low,Contradiction
1623,It was noted that the volunteers cleaned up litter along the riverbank last weekend.,"Sources confirmed that last weekend, volunteers spent hours removing litter from the riverbank.",0.81,High,Paraphrase
1624,"According to the report, the novelist released her long-awaited sequel this spring.",It was noted that the book tour will include stops in several major cities.,0.58,Medium,Related
1625,It was noted that the students put in a lot of effort studying for finals.,"As widely reported, the students studied hard for their final exams.",0.86,High,Paraphrase
1626,Sources confirmed that the city launched a bike-sharing program to reduce traffic congestion.,"To cut down on traffic, the city introduced a bike-sharing program.",0.96,Very High,Same Meaning
1627,"Notably, last weekend, volunteers spent hours removing litter from the riverbank.",It was noted that the group of hikers made it to the top right before the sun went down.,0.08,Very Low,Unrelated
1628,Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,"As widely reported, the bakery started offering gluten-free pastries as a new product line.",0.81,High,Paraphrase
1629,"As widely reported, the guests were served a tasty meal that the chef had cooked.","As widely reported, the chef prepared a delicious meal for the guests.",0.97,Very High,Same Meaning
1630,"According to the report, funding for a new public park was approved by the city council.",It was noted that the city council rejected the proposal for a new public park.,0.3,Low,Contradiction
1631,It was noted that the new smartphone features a significantly improved camera.,It was noted that the smartphone's camera has been greatly improved in this new version.,0.98,Very High,Same Meaning
1632,"According to the report, this quarter, the company reported record breaking profits.","As widely reported, record profits were announced by the company for the current quarter.",0.78,High,Paraphrase
1633,"According to the report, the museum unveiled a new exhibit on ancient civilizations.","Notably, visitors can attend guided tours of the museum every weekend.",0.64,Medium,Related
1634,"According to the report, this spring, the novelist's long-awaited sequel finally arrived.",It was noted that the book tour will include stops in several major cities.,0.57,Medium,Related
1635,Sources confirmed that the factory upgraded its equipment to reduce energy consumption.,It was noted that new equipment was installed at the factory to cut energy use.,0.88,High,Paraphrase
1636,"Notably, the orchestra performed a moving tribute to the late composer.",The orchestra performed a moving tribute to the late composer.,0.77,High,Paraphrase
1637,It was noted that the students put in a lot of effort studying for finals.,Sources confirmed that the students put in a lot of effort studying for finals.,0.86,High,Paraphrase
1638,The hospital opened a new wing dedicated to pediatric care.,It was noted that a new pediatric care wing was opened at the hospital.,0.96,Very High,Same Meaning
1639,"According to the report, upon its release, the film was widely praised by critics.",Sources confirmed that critics gave the film glowing reviews when it came out.,0.85,High,Paraphrase
1640,"As widely reported, record profits were announced by the company for the current quarter.","As widely reported, investors reacted positively to the company's latest earnings call.",0.64,Medium,Related
1641,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.","As widely reported, the novelist postponed the release of her sequel indefinitely.",0.28,Low,Contradiction
1642,The group of hikers made it to the top right before the sun went down.,"As widely reported, just before sunset, the hikers arrived at the summit.",0.87,High,Paraphrase
1643,"Notably, critics gave the film glowing reviews when it came out.",It was noted that critics gave the film glowing reviews when it came out.,0.88,High,Paraphrase
1644,"According to the report, a new pediatric care wing was opened at the hospital.","As widely reported, donors contributed generously to fund the hospital's expansion.",0.61,Medium,Related
1645,"Notably, the hospital's new wing focuses on caring for young patients.","According to the report, the bakery started offering gluten-free pastries as a new product line.",0.13,Very Low,Unrelated
1646,"Due to bad weather, the airline had to cancel a number of flights.",Passengers were offered vouchers for future travel after the disruption.,0.49,Medium,Related
1647,Sources confirmed that groundbreaking research on renewable energy was published by the scientists.,The scientists published groundbreaking research on renewable energy.,0.77,High,Paraphrase
1648,It was noted that funding for a new public park was approved by the city council.,"As widely reported, the council voted to fund the construction of a new public park.",0.86,High,Paraphrase
1649,It was noted that a delicious meal was made by the chef for the guests.,The trail offered stunning views of the surrounding valley.,0.11,Very Low,Unrelated
1650,"Notably, upon its release, the film was widely praised by critics.","Notably, the film received widespread critical acclaim upon release.",0.96,Very High,Same Meaning
1651,"According to the report, the council voted to fund the construction of a new public park.",Sources confirmed that local residents have long requested more green spaces downtown.,0.53,Medium,Related
1652,It was noted that the council voted to fund the construction of a new public park.,The city council approved funding for a new public park.,0.98,Very High,Same Meaning
1653,The orchestra performed a moving tribute to the late composer.,"According to the report, the teacher offered extra review sessions before the exam period.",0.01,Very Low,Unrelated
1654,"It was noted that this quarter, the company reported record breaking profits.",Sources confirmed that the company announced record profits this quarter.,0.94,Very High,Same Meaning
1655,"According to the report, a new pediatric care wing was opened at the hospital.","Notably, the hospital opened a new wing dedicated to pediatric care.",0.9,Very High,Same Meaning
1656,"As widely reported, due to bad weather, the airline had to cancel a number of flights.",The guests were served a tasty meal that the chef had cooked.,0.07,Very Low,Unrelated
1657,"Notably, to cut down on traffic, the city introduced a bike-sharing program.","As widely reported, to cut down on traffic, the city introduced a bike-sharing program.",0.79,High,Paraphrase
1658,"Sources confirmed that this spring, the novelist's long-awaited sequel finally arrived.",It was noted that the novelist released her long-awaited sequel this spring.,0.96,Very High,Same Meaning
1659,"As widely reported, the factory's energy consumption dropped after an equipment upgrade.","According to the report, the upgrade is expected to lower operating costs significantly.",0.62,Medium,Related
1660,"As widely reported, the bakery started offering gluten-free pastries as a new product line.","According to the report, the hikers reached the summit just before sunset.",0.06,Very Low,Unrelated
1661,"According to the report, the museum's latest exhibit focuses on ancient civilizations.",It was noted that the museum's latest exhibit focuses on ancient civilizations.,0.87,High,Paraphrase
1662,Sources confirmed that the group of hikers made it to the top right before the sun went down.,It was noted that the hikers reached the summit just before sunset.,0.86,High,Paraphrase
1663,"As widely reported, the hospital opened a new wing dedicated to pediatric care.",Sources confirmed that the hospital's new wing focuses on caring for young patients.,0.97,Very High,Same Meaning
1664,"Notably, critics gave the film glowing reviews when it came out.","Notably, this spring, the novelist's long-awaited sequel finally arrived.",0.09,Very Low,Unrelated
1665,"Notably, new equipment was installed at the factory to cut energy use.",It was noted that the city council approved funding for a new public park.,0.06,Very Low,Unrelated
1666,"Notably, a new pediatric care wing was opened at the hospital.",Donors contributed generously to fund the hospital's expansion.,0.59,Medium,Related
1667,"As widely reported, groundbreaking research on renewable energy was published by the scientists.",It was noted that the scientists published groundbreaking research on renewable energy.,0.81,High,Paraphrase
1668,"According to the report, a new exhibit about ancient civilizations opened at the museum.","According to the report, the museum closed its ancient civilizations exhibit permanently.",0.21,Low,Contradiction
1669,The startup developed an app that helps farmers monitor soil health.,"According to the report, farmers can now use the startup's app to track soil health.",0.93,Very High,Same Meaning
1670,Sources confirmed that record profits were announced by the company for the current quarter.,"According to the report, the company reported a significant loss this quarter.",0.24,Low,Contradiction
1671,"As widely reported, the students studied hard for their final exams.",It was noted that the students studied hard for their final exams.,0.97,Very High,Same Meaning
1672,The soccer team won the championship after a dramatic final.,It was noted that the soccer team lost the championship in a disappointing final.,0.18,Low,Contradiction
1673,The hospital's new wing focuses on caring for young patients.,It was noted that the hospital closed its pediatric care wing due to budget cuts.,0.22,Low,Contradiction
1674,"Just before sunset, the hikers arrived at the summit.","As widely reported, last weekend, volunteers spent hours removing litter from the riverbank.",0.08,Very Low,Unrelated
1675,Sources confirmed that fans welcomed the release of the novelist's sequel this spring.,"Notably, the book tour will include stops in several major cities.",0.55,Medium,Related
1676,The soccer team won the championship after a dramatic final.,"According to the report, after a dramatic final, the soccer team claimed the championship title.",0.91,Very High,Same Meaning
1677,"Notably, the startup developed an app that helps farmers monitor soil health.","According to the report, cyclists reported feeling safer thanks to new dedicated bike lanes.",0.12,Very Low,Unrelated
1678,Sources confirmed that the city council approved funding for a new public park.,"Notably, the city council approved funding for a new public park.",0.78,High,Paraphrase
1679,Sources confirmed that the bakery introduced a new line of gluten-free pastries.,"Notably, the bakery started offering gluten-free pastries as a new product line.",0.75,High,Paraphrase
1680,"Notably, groundbreaking research on renewable energy was published by the scientists.",Sources confirmed that the smartphone's camera has been greatly improved in this new version.,0.0,Very Low,Unrelated
1681,"According to the report, the museum's latest exhibit focuses on ancient civilizations.",It was noted that a new exhibit about ancient civilizations opened at the museum.,0.88,High,Paraphrase
1682,The startup developed an app that helps farmers monitor soil health.,"As widely reported, a moving tribute to the late composer was performed by the orchestra.",0.14,Very Low,Unrelated
1683,"According to the report, the research team released a major study about renewable energy.",Sources confirmed that the lead actor won several awards for the role.,0.05,Very Low,Unrelated
1684,Sources confirmed that the chef prepared a delicious meal for the guests.,Sources confirmed that the restaurant received great reviews for its outstanding service.,0.58,Medium,Related
1685,"As widely reported, critics gave the film glowing reviews when it came out.",It was noted that critics gave the film glowing reviews when it came out.,0.87,High,Paraphrase
1686,"As widely reported, the city council approved funding for a new public park.",Sources confirmed that the council voted to fund the construction of a new public park.,0.86,High,Paraphrase
1687,"According to the report, funding for a new public park was approved by the city council.","Notably, the teacher offered extra review sessions before the exam period.",0.12,Very Low,Unrelated
1688,"It was noted that upon its release, the film was widely praised by critics.","Notably, critics gave the film glowing reviews when it came out.",0.83,High,Paraphrase
1689,"According to the report, the bakery introduced a new line of gluten-free pastries.","Notably, the bakery introduced a new line of gluten-free pastries.",0.86,High,Paraphrase
1690,"Notably, the factory's energy consumption dropped after an equipment upgrade.",Sources confirmed that the factory's energy consumption rose after the equipment failed.,0.16,Low,Contradiction
1691,"According to the report, several flights were canceled by the airline because of poor weather conditions.","Due to bad weather, the airline had to cancel a number of flights.",0.91,Very High,Same Meaning
1692,The city council approved funding for a new public park.,Sources confirmed that local residents have long requested more green spaces downtown.,0.49,Medium,Related
1693,Sources confirmed that the championship was won by the soccer team in a thrilling final match.,"Notably, the soccer team won the championship after a dramatic final.",0.97,Very High,Same Meaning
1694,The factory's energy consumption dropped after an equipment upgrade.,"Notably, the upgrade is expected to lower operating costs significantly.",0.53,Medium,Related
1695,A moving tribute to the late composer was performed by the orchestra.,"As widely reported, the orchestra honored the late composer with an emotional performance.",0.77,High,Paraphrase
1696,Farmers can now use the startup's app to track soil health.,"According to the report, agricultural experts praised the app's accuracy in the field.",0.54,Medium,Related
1697,Sources confirmed that the chef prepared a delicious meal for the guests.,"As widely reported, a delicious meal was made by the chef for the guests.",0.93,Very High,Same Meaning
1698,Sources confirmed that fans welcomed the release of the novelist's sequel this spring.,"Notably, a new exhibit about ancient civilizations opened at the museum.",0.07,Very Low,Unrelated
1699,"As widely reported, the factory upgraded its equipment to reduce energy consumption.",It was noted that a new pediatric care wing was opened at the hospital.,0.02,Very Low,Unrelated
1700,It was noted that the students studied hard for their final exams.,Sources confirmed that the students studied hard for their final exams.,0.8,High,Paraphrase
1701,It was noted that farmers can now use the startup's app to track soil health.,"According to the report, the startup developed an app that helps farmers monitor soil health.",0.93,Very High,Same Meaning
1702,Sources confirmed that the city launched a bike-sharing program to reduce traffic congestion.,"As widely reported, the city launched a bike-sharing program to reduce traffic congestion.",0.93,Very High,Same Meaning
1703,It was noted that the city council approved funding for a new public park.,"According to the report, the city council rejected the proposal for a new public park.",0.32,Low,Contradiction
1704,Sources confirmed that the council voted to fund the construction of a new public park.,"As widely reported, the city council approved funding for a new public park.",0.81,High,Paraphrase
1705,"According to the report, a much better camera is one of the new smartphone's key features.","Notably, the smartphone's camera has been greatly improved in this new version.",0.91,Very High,Same Meaning
1706,"As widely reported, a moving tribute to the late composer was performed by the orchestra.",Sources confirmed that tickets for the tribute concert sold out within hours.,0.6,Medium,Related
1707,"As widely reported, just before sunset, the hikers arrived at the summit.","Notably, the hikers reached the summit just before sunset.",0.8,High,Paraphrase
1708,The museum unveiled a new exhibit on ancient civilizations.,It was noted that the museum unveiled a new exhibit on ancient civilizations.,0.75,High,Paraphrase
1709,"According to the report, funding for a new public park was approved by the city council.","According to the report, local residents have long requested more green spaces downtown.",0.65,Medium,Related
1710,"As widely reported, the group of hikers made it to the top right before the sun went down.","Notably, the city launched a bike-sharing program to reduce traffic congestion.",0.07,Very Low,Unrelated
1711,"Notably, the novelist released her long-awaited sequel this spring.","Notably, fans welcomed the release of the novelist's sequel this spring.",0.82,High,Paraphrase
1712,"As widely reported, the novelist released her long-awaited sequel this spring.","As widely reported, the book tour will include stops in several major cities.",0.57,Medium,Related
1713,It was noted that a delicious meal was made by the chef for the guests.,It was noted that the guests were served a tasty meal that the chef had cooked.,0.98,Very High,Same Meaning
1714,"Notably, the hospital opened a new wing dedicated to pediatric care.",It was noted that the hospital closed its pediatric care wing due to budget cuts.,0.33,Low,Contradiction
1715,Sources confirmed that several flights were canceled by the airline because of poor weather conditions.,"It was noted that due to bad weather, the airline had to cancel a number of flights.",0.9,Very High,Same Meaning
1716,The bakery started offering gluten-free pastries as a new product line.,The airline canceled several flights due to bad weather.,0.06,Very Low,Unrelated
1717,"Due to bad weather, the airline had to cancel a number of flights.",Sources confirmed that the airline canceled several flights due to bad weather.,0.85,High,Paraphrase
1718,"According to the report, the museum unveiled a new exhibit on ancient civilizations.","Notably, a new exhibit about ancient civilizations opened at the museum.",0.97,Very High,Same Meaning
1719,"It was noted that this spring, the novelist's long-awaited sequel finally arrived.","As widely reported, the book tour will include stops in several major cities.",0.5,Medium,Related
1720,Sources confirmed that the guests were served a tasty meal that the chef had cooked.,The restaurant received great reviews for its outstanding service.,0.54,Medium,Related
1721,"Notably, the factory's energy consumption dropped after an equipment upgrade.","Notably, upon its release, the film was widely praised by critics.",0.12,Very Low,Unrelated
1722,"According to the report, this quarter, the company reported record breaking profits.","Notably, investors reacted positively to the company's latest earnings call.",0.52,Medium,Related
1723,The championship was won by the soccer team in a thrilling final match.,It was noted that the soccer team won the championship after a dramatic final.,0.96,Very High,Same Meaning
1724,"Notably, the research team released a major study about renewable energy.","According to the report, the university received a large grant to fund further energy research.",0.5,Medium,Related
1725,"As widely reported, last weekend, volunteers spent hours removing litter from the riverbank.","Notably, litter along the riverbank was cleared by volunteers last weekend.",0.97,Very High,Same Meaning
1726,Funding for a new public park was approved by the city council.,The city council approved funding for a new public park.,0.87,High,Paraphrase
1727,It was noted that the bakery started offering gluten-free pastries as a new product line.,Sources confirmed that the bakery started offering gluten-free pastries as a new product line.,0.92,Very High,Same Meaning
1728,Sources confirmed that the bakery introduced a new line of gluten-free pastries.,Customers have praised the bakery's friendly staff and cozy atmosphere.,0.55,Medium,Related
1729,"According to the report, to cut down on traffic, the city introduced a bike-sharing program.","As widely reported, the city launched a bike-sharing program to reduce traffic congestion.",0.91,Very High,Same Meaning
1730,"According to the report, the city launched a bike-sharing program to reduce traffic congestion.","Notably, cyclists reported feeling safer thanks to new dedicated bike lanes.",0.64,Medium,Related
1731,"It was noted that just before sunset, the hikers arrived at the summit.","Notably, the hikers reached the summit just before sunset.",0.96,Very High,Same Meaning
1732,"As widely reported, the airline canceled several flights due to bad weather.","Notably, passengers were offered vouchers for future travel after the disruption.",0.56,Medium,Related
1733,Sources confirmed that a new pediatric care wing was opened at the hospital.,It was noted that a new pediatric care wing was opened at the hospital.,0.95,Very High,Same Meaning
1734,"According to the report, the orchestra performed a moving tribute to the late composer.",Sources confirmed that a moving tribute to the late composer was performed by the orchestra.,0.79,High,Paraphrase
1735,"According to the report, the startup developed an app that helps farmers monitor soil health.",Sources confirmed that visitors can attend guided tours of the museum every weekend.,0.11,Very Low,Unrelated
1736,The city council approved funding for a new public park.,"According to the report, local residents have long requested more green spaces downtown.",0.57,Medium,Related
1737,"According to the report, a delicious meal was made by the chef for the guests.","Notably, the restaurant received great reviews for its outstanding service.",0.63,Medium,Related
1738,The hospital's new wing focuses on caring for young patients.,It was noted that a new pediatric care wing was opened at the hospital.,0.78,High,Paraphrase
1739,The group of hikers made it to the top right before the sun went down.,"As widely reported, the hikers turned back before reaching the summit.",0.19,Low,Contradiction
1740,"As widely reported, the smartphone's camera has been greatly improved in this new version.","Notably, the new smartphone features a significantly improved camera.",0.96,Very High,Same Meaning
1741,It was noted that the research team released a major study about renewable energy.,Sources confirmed that the research team released a major study about renewable energy.,0.96,Very High,Same Meaning
1742,"As widely reported, the city launched a bike-sharing program to reduce traffic congestion.","Notably, the city shut down its bike-sharing program after low usage.",0.34,Low,Contradiction
1743,"As widely reported, the factory's energy consumption dropped after an equipment upgrade.","According to the report, the factory's energy consumption dropped after an equipment upgrade.",0.86,High,Paraphrase
1744,"As widely reported, a moving tribute to the late composer was performed by the orchestra.",The orchestra canceled its planned tribute to the composer.,0.16,Low,Contradiction
1745,It was noted that the hospital's new wing focuses on caring for young patients.,"According to the report, the museum's latest exhibit focuses on ancient civilizations.",0.07,Very Low,Unrelated
1746,It was noted that the hospital opened a new wing dedicated to pediatric care.,"Notably, the museum's latest exhibit focuses on ancient civilizations.",0.03,Very Low,Unrelated
1747,"As widely reported, the city council approved funding for a new public park.","According to the report, the city council rejected the proposal for a new public park.",0.22,Low,Contradiction
1748,"Sources confirmed that due to bad weather, the airline had to cancel a number of flights.",The airline operated all its flights on schedule despite the storm.,0.23,Low,Contradiction
1749,"Notably, the students studied hard for their final exams.",An app for monitoring soil health was created by the startup for farmers.,0.0,Very Low,Unrelated
1750,A new gluten-free pastry line was launched by the bakery.,"According to the report, the bakery introduced a new line of gluten-free pastries.",0.84,High,Paraphrase
1751,"As widely reported, the guests were served a tasty meal that the chef had cooked.","Notably, a delicious meal was made by the chef for the guests.",0.93,Very High,Same Meaning
