id,text,task,input_type,expected_output,difficulty
1449,"See below: The university announced a new scholarship program aimed at supporting first-generation college students, covering tuition, housing, and textbook costs for qualifying applicants.",Text Summarization,Paragraph,University launches scholarship for first-generation students.,Intermediate
1450,"Note the following: Overall, the customer support agent was ordinary based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
1451,"Input sample: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Advanced
1452,"Input sample: The hospital opened a new pediatric wing this week, funded largely through community donations, aiming to reduce wait times and improve care for young patients across the region.",Text Summarization,Paragraph,Hospital opens community-funded pediatric wing to improve care.,Intermediate
1453,Note the following: The hospital expanded its emergency department.|Doctors recommended more sleep for better memory.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
1454,"Case in point: Overall, the online course was typical based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1455,Here is a case to review: The recipe requires two cups of flour and a teaspoon of salt.|How much flour does the recipe require?,Question Answering,Context + Question,two cups,Beginner
1456,Please review: The airline introduced a new nonstop route between major cities.,Text Classification,Single Sentence,Travel,Beginner
1457,"The city's water utility completed a multi-year project to replace aging pipes, reducing leaks and improving water quality for thousands of households.",Text Summarization,Paragraph,"City completes pipe replacement project, improving water quality.",Beginner
1458,Example: Continue the story: The scientist stared at the readings in disbelief because...,Text Generation,Prompt,...the numbers suggested something no experiment had ever recorded before.,Intermediate
1459,"Consider the following: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Intermediate
1460,Consider the following: Generate a short caption for a photo of an autumn forest trail.,Text Generation,Prompt,Crisp air and golden leaves make this trail impossible to resist in autumn.,Beginner
1461,"Case in point: The startup's latest app allows users to track their carbon footprint by analyzing daily habits such as transportation, diet, and energy use, offering personalized suggestions for reducing emissions.",Text Summarization,Paragraph,New app helps users track and reduce their carbon footprint.,Intermediate
1462,Task input: The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
1463,"For instance, Write an opening sentence for a cooking blog post about seasonal produce.",Text Generation,Prompt,"Nothing captures the flavor of the season quite like fresh, locally grown produce.",Advanced
1464,Reference text: The marathon route passes through five historic neighborhoods.|How many historic neighborhoods does the marathon route pass through?,Question Answering,Context + Question,five,Intermediate
1465,Take the following text: Draft a short announcement about a community cleanup event.,Text Generation,Prompt,Join your neighbors this Saturday for a community cleanup event at the riverside park.,Beginner
1466,Example: The satellite was launched into orbit in early 2021.|When was the satellite launched into orbit?,Question Answering,Context + Question,early 2021,Intermediate
1467,Case in point: The hospital expanded its emergency department.|Doctors recommended more sleep for better memory.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
1468,"Reference text: A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Beginner
1469,Case in point: Zainab Moore joined Silverline Motors in Mumbai last year.,Named Entity Recognition,Single Sentence,"PERSON: Zainab Moore, ORG: Silverline Motors, GPE: Mumbai",Beginner
1470,Input sample: The museum's newest exhibit focuses on ancient trade routes.|What does the museum's newest exhibit focus on?,Question Answering,Context + Question,ancient trade routes,Beginner
1471,Example: Write a short pitch for a new budgeting app.,Text Generation,Prompt,Take control of your spending with an app that makes budgeting simple and stress-free.,Advanced
1472,Task input: Generate a product description for a reusable water bottle.,Text Generation,Prompt,"This durable, eco-friendly water bottle keeps drinks cold for hours at a time.",Advanced
1473,Take the following text: Physicists confirmed a new particle interaction in the experiment.,Text Classification,Single Sentence,Science,Advanced
1474,"As an example, The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.",Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1475,"Consider the following: Overall, the hotel stay was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1476,Review this input: Global Trade Partners announced a new office opening in Manila.,Named Entity Recognition,Single Sentence,"ORG: Global Trade Partners, GPE: Manila",Beginner
1477,Riverside Bank announced a new office opening in Copenhagen.,Named Entity Recognition,Single Sentence,"ORG: Riverside Bank, GPE: Copenhagen",Advanced
1478,Sample input: George Hall was appointed as the new director at Brightline Technologies.,Named Entity Recognition,Single Sentence,"PERSON: George Hall, ORG: Brightline Technologies",Advanced
1479,"As an example, The tech firm rolled out a privacy update giving users more control over how their data is shared with third-party advertisers.",Text Summarization,Paragraph,Tech firm gives users more control over data sharing with new update.,Beginner
1480,Case in point: The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
1481,Please review: The home team secured a narrow victory in the final minutes.,Text Classification,Single Sentence,Sports,Advanced
1482,Consider the following: The librarian organized the books by [MASK].,Masked Language Modeling,Masked Sentence,genre,Advanced
1483,Input sample: The startup released an app that tracks personal energy usage.,Text Classification,Single Sentence,Technology,Beginner
1484,Reference text: Physicists confirmed a new particle interaction in the experiment.,Text Classification,Single Sentence,Science,Beginner
1485,Note the following: Write a tagline for a new fitness app.,Text Generation,Prompt,"Track your progress, build your habits, and reach your goals every day.",Advanced
1486,Review this input: Write an opening line for a travel guide about a mountain village.,Text Generation,Prompt,"Tucked between two peaks, this quiet mountain village feels frozen in time.",Intermediate
1487,Take the following text: The city approved funding for a new park.|Funding for a new park was approved by the city.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
1488,"The observatory captured unprecedented images of a distant nebula after upgrading its imaging equipment, giving astronomers new insight into star formation.",Text Summarization,Paragraph,Observatory captures new images of nebula after equipment upgrade.,Beginner
1489,Here is a case to review: Donors contributed generously to the hospital's expansion.|The hospital's expansion was funded by generous donors.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1490,Reference text: The teacher handed out the [MASK] at the start of class.,Masked Language Modeling,Masked Sentence,worksheet,Beginner
1491,"Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Intermediate
1492,"Review this input: Overall, the flight was ordinary based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1493,"As an example, Continue the story: The old bookstore had one rule that no customer ever questioned...",Text Generation,Prompt,...every book had to be returned to the exact shelf it came from.,Advanced
1494,Reference text: The company reduced its carbon emissions by thirty percent last year.|By how much did the company reduce its carbon emissions?,Question Answering,Context + Question,thirty percent,Beginner
1495,Reference text: The farmer checked the soil before planting the [MASK].,Masked Language Modeling,Masked Sentence,seeds,Intermediate
1496,Reference text: Photosynthesis allows plants to convert sunlight into energy.|What does photosynthesis allow plants to do?,Question Answering,Context + Question,convert sunlight into energy,Advanced
1497,"As an example, Overall, the hotel stay was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1498,"Sample input: Overall, the online course was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1499,Task input: Julia Hall was appointed as the new director at Meridian Financial Group.,Named Entity Recognition,Single Sentence,"PERSON: Julia Hall, ORG: Meridian Financial Group",Intermediate
1500,"Sample input: The city's new bike-sharing program has already logged tens of thousands of rides in its first month, with officials crediting expanded lanes and lower fares for the early success.",Text Summarization,Paragraph,City's new bike-sharing program sees strong early adoption.,Intermediate
1501,Please review: The bridge took nearly six years to construct.|How long did the bridge take to construct?,Question Answering,Context + Question,nearly six years,Advanced
1502,"See below: Overall, the customer service team was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1503,"Overall, the flight was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
1504,Consider the following: A new study found that students who participated in peer tutoring programs showed measurable improvement in both grades and confidence over a single semester.,Text Summarization,Paragraph,Study links peer tutoring to improved grades and confidence.,Intermediate
1505,Please review: David Petrov joined Falcon Logistics in Lisbon last year.,Named Entity Recognition,Single Sentence,"PERSON: David Petrov, ORG: Falcon Logistics, GPE: Lisbon",Intermediate
1506,Reference text: Write an opening line for a travel guide about a mountain village.,Text Generation,Prompt,"Tucked between two peaks, this quiet mountain village feels frozen in time.",Advanced
1507,Take the following text: The vaccination campaign reached thousands of families this month.,Text Classification,Single Sentence,Health,Intermediate
1508,"Case in point: Overall, the customer support agent was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1509,Task input: George Patel joined Crescent Media Group in Manila last year.,Named Entity Recognition,Single Sentence,"PERSON: George Patel, ORG: Crescent Media Group, GPE: Manila",Advanced
1510,"Take the following text: Overall, the delivery was slow based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
1511,Please review: The startup's app is available in over forty countries.|In how many countries is the startup's app available?,Question Answering,Context + Question,over forty,Intermediate
1512,Review this input: Generate a short caption for a photo of a bustling night market.,Text Generation,Prompt,"Lights, aromas, and laughter fill the air at the city's favorite night market.",Intermediate
1513,"For instance, The doctor recommended more rest and a balanced [MASK].",Masked Language Modeling,Masked Sentence,diet,Beginner
1514,"For instance, The orchestra rehearsed for weeks before the [MASK].",Masked Language Modeling,Masked Sentence,concert,Beginner
1515,Reference text: Investors reacted positively to the firm's expansion into new markets.,Text Classification,Single Sentence,Business,Beginner
1516,Reference text: The scientist conducted an experiment in the [MASK].,Masked Language Modeling,Masked Sentence,laboratory,Intermediate
1517,Consider the following: The airline canceled several flights due to weather.|The library added new titles to its collection.,Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
1518,"Example: Overall, the new laptop was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1519,Reference text: The tourism board launched a campaign promoting off-season visits.,Text Classification,Single Sentence,Travel,Beginner
1520,Please review: The soccer team won the championship after a dramatic final.|The soccer team lost the championship in a disappointing final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
1521,Write a short pitch for a language-learning app.,Text Generation,Prompt,Learn a new language in minutes a day with lessons built around real conversations.,Intermediate
1522,Reference text: Elena Dubois was appointed as the new director at Lakeside Medical Center.,Named Entity Recognition,Single Sentence,"PERSON: Elena Dubois, ORG: Lakeside Medical Center",Advanced
1523,"As an example, Continue the story: The old lighthouse had been abandoned for decades until...",Text Generation,Prompt,...a young sailor discovered a hidden journal inside its rusted walls.,Advanced
1524,"Consider the following: Overall, the online course was typical based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1525,"Sample input: Overall, the software update was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1526,Take the following text: The novelist released her long-awaited sequel.|The bakery introduced gluten-free pastries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1527,"Consider the following: Overall, the flight was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1528,Input sample: Ironwood Steel Works announced a new office opening in Jakarta.,Named Entity Recognition,Single Sentence,"ORG: Ironwood Steel Works, GPE: Jakarta",Intermediate
1529,Sample input: The film's soundtrack topped the charts within a week of release.,Text Classification,Single Sentence,Entertainment,Beginner
1530,"Take the following text: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Beginner
1531,Here is a case to review: The novelist released her long-awaited sequel.|The bakery introduced gluten-free pastries.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
1532,Input sample: Continue the story: The scientist stared at the readings in disbelief because...,Text Generation,Prompt,...the numbers suggested something no experiment had ever recorded before.,Beginner
1533,"Example: The city's water utility completed a multi-year project to replace aging pipes, reducing leaks and improving water quality for thousands of households.",Text Summarization,Paragraph,"City completes pipe replacement project, improving water quality.",Beginner
1534,Sample input: The chef added a pinch of salt to the [MASK].,Masked Language Modeling,Masked Sentence,soup,Advanced
1535,"See below: Overall, the mobile app was excellent based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1536,Review this input: Physicists confirmed a new particle interaction in the experiment.,Text Classification,Single Sentence,Science,Beginner
1537,Consider the following: The orchestra performed a piece composed specifically for the occasion.|What kind of piece did the orchestra perform?,Question Answering,Context + Question,a piece composed specifically for the occasion,Intermediate
1538,"Sample input: Overall, the mobile app was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1539,Sample input: George Garcia joined Redstone Consulting in Manila last year.,Named Entity Recognition,Single Sentence,"PERSON: George Garcia, ORG: Redstone Consulting, GPE: Manila",Intermediate
1540,Consider the following: Generate a short caption for a photo of a mountain sunrise.,Text Generation,Prompt,Golden light spills over the peaks as another day begins in the highlands.,Beginner
1541,See below: Felix Costa joined Oakwood Publishing House in Toronto last year.,Named Entity Recognition,Single Sentence,"PERSON: Felix Costa, ORG: Oakwood Publishing House, GPE: Toronto",Advanced
1542,"Case in point: Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Intermediate
1543,"For instance, The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?",Question Answering,Context + Question,more than fifty thousand,Advanced
1544,Note the following: The barista prepared a fresh cup of [MASK] for the customer.,Masked Language Modeling,Masked Sentence,coffee,Intermediate
1545,Review this input: Chemists developed a more efficient method for producing clean fuel.,Text Classification,Single Sentence,Science,Intermediate
1546,Note the following: She bought a ticket to catch the early morning [MASK].,Masked Language Modeling,Masked Sentence,train,Intermediate
1547,"As an example, The startup's app is available in over forty countries.|In how many countries is the startup's app available?",Question Answering,Context + Question,over forty,Beginner
1548,"Review this input: Overall, the flight was standard based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Intermediate
1549,Sample input: The library was renovated using funds from a private donor.|How was the library's renovation funded?,Question Answering,Context + Question,funds from a private donor,Beginner
1550,Take the following text: Continue the story: The scientist stared at the readings in disbelief because...,Text Generation,Prompt,...the numbers suggested something no experiment had ever recorded before.,Beginner
1551,Case in point: The ancient ruins were discovered by a team of archaeologists in 1974.|Who discovered the ancient ruins?,Question Answering,Context + Question,a team of archaeologists,Intermediate
1552,"For instance, The museum closed its ancient exhibit permanently.|The startup's app is available in over forty countries.",Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1553,"See below: Overall, the new laptop was efficient based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1554,See below: Amara Rossi was appointed as the new director at Coastal Insurance Co..,Named Entity Recognition,Single Sentence,"PERSON: Amara Rossi, ORG: Coastal Insurance Co.",Beginner
1555,"Example: Overall, the software update was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1556,"As an example, The soccer team won the championship after a dramatic final.|The soccer team lost the championship in a disappointing final.",Text Similarity,Sentence Pair,Low similarity (contradiction),Intermediate
1557,Note the following: The airline introduced a new nonstop route between major cities.,Text Classification,Single Sentence,Travel,Intermediate
1558,Reference text: The doctor recommended more rest and a balanced [MASK].,Masked Language Modeling,Masked Sentence,diet,Beginner
1559,See below: The hospital expanded its emergency department.|Doctors recommended more sleep for better memory.,Text Similarity,Sentence Pair,Low similarity (unrelated),Beginner
1560,Note the following: Donors contributed generously to the hospital's expansion.|The hospital's expansion was funded by generous donors.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
1561,Example: The airline introduced a new nonstop route between major cities.,Text Classification,Single Sentence,Travel,Advanced
1562,The librarian organized the books by [MASK].,Masked Language Modeling,Masked Sentence,genre,Intermediate
1563,Example: Write a tagline for a new fitness app.,Text Generation,Prompt,"Track your progress, build your habits, and reach your goals every day.",Advanced
1564,Note the following: Continue the story: The archivist found a letter that had never been opened...,Text Generation,Prompt,...its wax seal was still intact after more than a century.,Intermediate
1565,"Reference text: Overall, the restaurant was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1566,Take the following text: The college expanded its online course catalog significantly.,Text Classification,Single Sentence,Education,Advanced
1567,Sample input: The tourism board launched a campaign promoting off-season visits.,Text Classification,Single Sentence,Travel,Beginner
1568,"See below: Overall, the mobile app was subpar based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Beginner
1569,Consider the following: Felix Müller was appointed as the new director at Ironwood Steel Works.,Named Entity Recognition,Single Sentence,"PERSON: Felix Müller, ORG: Ironwood Steel Works",Beginner
1570,"See below: Overall, the printer was excellent based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1571,Here is a case to review: The novel was translated into twelve languages after its release.|Into how many languages was the novel translated?,Question Answering,Context + Question,twelve,Intermediate
1572,Please review: Vertex Analytics announced a new office opening in Austin.,Named Entity Recognition,Single Sentence,"ORG: Vertex Analytics, GPE: Austin",Intermediate
1573,"Input sample: Researchers at the university tracked bird migration patterns for over a decade, finding that changing climate conditions have shifted the timing of seasonal movement significantly.",Text Summarization,Paragraph,Decade-long study finds climate change shifting bird migration timing.,Beginner
1574,"Here is a case to review: Overall, the customer support agent was poor based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Advanced
1575,"As an example, Draft a short thank-you message for event volunteers.",Text Generation,Prompt,Thank you to every volunteer who made this year's event possible.,Beginner
1576,Reference text: The museum's newest exhibit focuses on ancient trade routes.|What does the museum's newest exhibit focus on?,Question Answering,Context + Question,ancient trade routes,Advanced
1577,"Case in point: The airline unveiled a redesigned cabin layout intended to improve passenger comfort on long-haul flights, including wider seats and more legroom.",Text Summarization,Paragraph,Airline redesigns cabin layout to improve long-haul passenger comfort.,Beginner
1578,The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1579,See below: The scientist conducted an experiment in the [MASK].,Masked Language Modeling,Masked Sentence,laboratory,Beginner
1580,"Reference text: The city council held a lengthy meeting to discuss the proposed transit expansion, hearing feedback from dozens of residents before ultimately postponing the vote until next month.",Text Summarization,Paragraph,City council postpones vote on transit expansion after resident feedback.,Beginner
1581,"Reference text: Overall, the printer was excellent based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1582,"Consider the following: Overall, the fitness tracker was outstanding based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Advanced
1583,Case in point: The train journey between the two cities takes about four hours.|How long does the train journey take?,Question Answering,Context + Question,about four hours,Advanced
1584,Please review: Sara Rossi joined Evergreen Energy Co. in Vancouver last year.,Named Entity Recognition,Single Sentence,"PERSON: Sara Rossi, ORG: Evergreen Energy Co., GPE: Vancouver",Intermediate
1585,Example: The volunteers cleaned up litter along the riverbank.|Litter along the riverbank was cleared by volunteers.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1586,"Please review: A local nonprofit distributed thousands of winter coats to families in need, relying entirely on community donations and volunteer coordination.",Text Summarization,Paragraph,Nonprofit distributes winter coats to families through community donations.,Advanced
1587,Consider the following: Coaches emphasized endurance training ahead of the tournament.,Text Classification,Single Sentence,Sports,Intermediate
1588,"Case in point: The university announced a new scholarship program aimed at supporting first-generation college students, covering tuition, housing, and textbook costs for qualifying applicants.",Text Summarization,Paragraph,University launches scholarship for first-generation students.,Beginner
1589,Consider the following: The hikers packed extra water before reaching the [MASK].,Masked Language Modeling,Masked Sentence,summit,Intermediate
1590,See below: The doctor recommended more rest and a balanced [MASK].,Masked Language Modeling,Masked Sentence,diet,Intermediate
1591,Note the following: The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Beginner
1592,Reference text: The soccer team won the championship after a dramatic final.|The soccer team lost the championship in a disappointing final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Beginner
1593,Reference text: The festival attracts more than fifty thousand visitors each year.|How many visitors does the festival attract each year?,Question Answering,Context + Question,more than fifty thousand,Intermediate
1594,"Case in point: Overall, the mobile app was satisfying based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Beginner
1595,"Sample input: Overall, the new laptop was subpar based on my recent experience.",Sentiment Analysis,Single Sentence,Negative,Intermediate
1596,"For instance, Golden Gate Retailers announced a new office opening in Austin.",Named Entity Recognition,Single Sentence,"ORG: Golden Gate Retailers, GPE: Austin",Intermediate
1597,Review this input: The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1598,Take the following text: The committee reviewed each [MASK] before making a decision.,Masked Language Modeling,Masked Sentence,proposal,Advanced
1599,Please review: The professor's research focuses on renewable energy storage.|What does the professor's research focus on?,Question Answering,Context + Question,renewable energy storage,Intermediate
1600,Take the following text: Crescent Media Group announced a new office opening in Nairobi.,Named Entity Recognition,Single Sentence,"ORG: Crescent Media Group, GPE: Nairobi",Beginner
1601,Here is a case to review: The comet will not be visible again for another seventy years.|When will the comet be visible again?,Question Answering,Context + Question,in another seventy years,Advanced
1602,Sample input: The startup secured additional funding to scale its operations abroad.,Text Classification,Single Sentence,Business,Beginner
1603,Task input: The barista prepared a fresh cup of [MASK] for the customer.,Masked Language Modeling,Masked Sentence,coffee,Advanced
1604,"For instance, Following months of negotiation, the two companies finalized a merger that industry analysts believe will reshape the competitive landscape of the logistics sector.",Text Summarization,Paragraph,Two companies finalize merger reshaping the logistics industry.,Advanced
1605,Consider the following: Continue the story: The old lighthouse had been abandoned for decades until...,Text Generation,Prompt,...a young sailor discovered a hidden journal inside its rusted walls.,Intermediate
1606,"Here is a case to review: The university announced a new scholarship program aimed at supporting first-generation college students, covering tuition, housing, and textbook costs for qualifying applicants.",Text Summarization,Paragraph,University launches scholarship for first-generation students.,Intermediate
1607,Task input: The architect sketched the building's [MASK] on the whiteboard.,Masked Language Modeling,Masked Sentence,layout,Advanced
1608,Input sample: The chef prepared a delicious meal.|The weather was sunny all week.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1609,See below: The museum unveiled a new exhibit on ancient history.|A new ancient history exhibit opened at the museum.,Text Similarity,Sentence Pair,High similarity (paraphrase),Intermediate
1610,Review this input: The orchestra rehearsed for weeks before the [MASK].,Masked Language Modeling,Masked Sentence,concert,Beginner
1611,Take the following text: Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?,Question Answering,Context + Question,Mount Everest,Advanced
1612,Example: Write an opening line for a mystery novel set in a small coastal town.,Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Advanced
1613,Example: Ahmed Wright was appointed as the new director at Brightline Technologies.,Named Entity Recognition,Single Sentence,"PERSON: Ahmed Wright, ORG: Brightline Technologies",Intermediate
1614,The architect sketched the building's [MASK] on the whiteboard.,Masked Language Modeling,Masked Sentence,layout,Beginner
1615,Review this input: The tourists took photos of the historic [MASK].,Masked Language Modeling,Masked Sentence,landmark,Beginner
1616,"Note the following: Overall, the flight was typical based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1617,Case in point: The school introduced a new coding elective for ninth graders.,Text Classification,Single Sentence,Education,Beginner
1618,Case in point: Write an opening line for a memoir about growing up near the coast.,Text Generation,Prompt,"The ocean was the first sound I remember, and it never really left me.",Intermediate
1619,Reference text: The team celebrated their championship victory.|The team lost the championship final.,Text Similarity,Sentence Pair,Low similarity (contradiction),Advanced
1620,Here is a case to review: Developers released an open-source library for data analysis.,Text Classification,Single Sentence,Technology,Intermediate
1621,Take the following text: Felix Fernandez was appointed as the new director at Lakeside Medical Center.,Named Entity Recognition,Single Sentence,"PERSON: Felix Fernandez, ORG: Lakeside Medical Center",Beginner
1622,"Sample input: Overall, the customer service team was reliable based on my recent experience.",Sentiment Analysis,Single Sentence,Positive,Intermediate
1623,Sample input: The bike-sharing program was launched to ease congestion.|The novelist postponed her sequel's release indefinitely.,Text Similarity,Sentence Pair,Low similarity (unrelated),Intermediate
1624,"See below: Overall, the printer was average based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Advanced
1625,"For instance, The home team secured a narrow victory in the final minutes.",Text Classification,Single Sentence,Sports,Beginner
1626,Task input: The company reduced its carbon emissions by thirty percent last year.|By how much did the company reduce its carbon emissions?,Question Answering,Context + Question,thirty percent,Beginner
1627,"See below: A regional theater group staged a modern retelling of a classic play, drawing praise for its inventive set design and a diverse young cast.",Text Summarization,Paragraph,Theater group praised for modern retelling of a classic play.,Intermediate
1628,"For instance, Volunteers spent the weekend restoring a historic trail damaged by recent storms, clearing debris and repairing several washed-out sections.",Text Summarization,Paragraph,Volunteers restore storm-damaged historic trail over the weekend.,Beginner
1629,"Sample input: Overall, the customer support agent was acceptable based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Advanced
1630,See below: Continue the story: The scientist stared at the readings in disbelief because...,Text Generation,Prompt,...the numbers suggested something no experiment had ever recorded before.,Intermediate
1631,A new study found that students who participated in peer tutoring programs showed measurable improvement in both grades and confidence over a single semester.,Text Summarization,Paragraph,Study links peer tutoring to improved grades and confidence.,Intermediate
1632,"Overall, the hotel stay was typical based on my recent experience.",Sentiment Analysis,Single Sentence,Neutral,Beginner
1633,"For instance, Ravi Kowalski was appointed as the new director at Blue Horizon Airlines.",Named Entity Recognition,Single Sentence,"PERSON: Ravi Kowalski, ORG: Blue Horizon Airlines",Beginner
1634,Please review: Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Beginner
1635,Task input: The city unveiled a new walking trail along the historic waterfront.,Text Classification,Single Sentence,Travel,Beginner
1636,"Review this input: A regional theater group staged a modern retelling of a classic play, drawing praise for its inventive set design and a diverse young cast.",Text Summarization,Paragraph,Theater group praised for modern retelling of a classic play.,Beginner
1637,Take the following text: Summit Robotics Inc. announced a new office opening in Kuala Lumpur.,Named Entity Recognition,Single Sentence,"ORG: Summit Robotics Inc., GPE: Kuala Lumpur",Intermediate
1638,Note the following: The engineer reviewed the blueprint before the [MASK].,Masked Language Modeling,Masked Sentence,construction,Intermediate
1639,Here is a case to review: Mount Everest is the tallest mountain above sea level on Earth.|What is the tallest mountain above sea level?,Question Answering,Context + Question,Mount Everest,Beginner
1640,Example: Engineers unveiled a chip that doubles processing speed.,Text Classification,Single Sentence,Technology,Beginner
1641,Reference text: The merger created one of the largest logistics providers in the region.,Text Classification,Single Sentence,Business,Intermediate
1642,Here is a case to review: Write a tagline for a new fitness app.,Text Generation,Prompt,"Track your progress, build your habits, and reach your goals every day.",Beginner
1643,Reference text: The startup released an app that tracks personal energy usage.,Text Classification,Single Sentence,Technology,Intermediate
1644,"As an example, The airline canceled several flights due to weather.|The library added new titles to its collection.",Text Similarity,Sentence Pair,Low similarity (unrelated),Advanced
1645,See below: The Eiffel Tower was completed in 1889 and stands in Paris.|What year was the Eiffel Tower completed?,Question Answering,Context + Question,1889,Beginner
1646,Draft a short welcome message for new employees.,Text Generation,Prompt,Welcome to the team; we're excited to have you join us on this journey.,Intermediate
1647,Note the following: Grace Silva joined Delta Cloud Services in Helsinki last year.,Named Entity Recognition,Single Sentence,"PERSON: Grace Silva, ORG: Delta Cloud Services, GPE: Helsinki",Beginner
1648,Case in point: Write an opening line for a mystery novel set in a small coastal town.,Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Intermediate
1649,Here is a case to review: The airline introduced a new nonstop route between major cities.,Text Classification,Single Sentence,Travel,Intermediate
1650,Note the following: Write an opening line for a mystery novel set in a small coastal town.,Text Generation,Prompt,No one in the small coastal town expected the tide to bring back more than driftwood.,Advanced
1651,"Take the following text: The city's new bike-sharing program has already logged tens of thousands of rides in its first month, with officials crediting expanded lanes and lower fares for the early success.",Text Summarization,Paragraph,City's new bike-sharing program sees strong early adoption.,Beginner
